"Years","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"        Highest income quartile (%)",,,,,,,,,,,"0.052",,,,,"0.05","0.049","0.045","0.055","0.0559999999","0.057","0.052","0.044","0.0409999999","0.038","0.04","0.034","0.036","0.034","0.033","0.0289999999","0.03","0.024","0.0289999999","0.049","0.036","0.032","0.034","0.035","0.039","0.035","0.032","0.038","0.034","0.037","0.027","0.038","0.032","0.022","0.025","0.025","0.023","0.019","0.032","0.0279999999","0.024","0.026",,,,
"    By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Alabama (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.089004677","0.076952692","0.073562143","0.068719548","0.066","0.0536345192",,
"        Alaska (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.062344642","0.028446199","0.088485996","0.056363385","0.053","0.0439280326",,
"        Arizona (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.093591662","0.084738202","0.092462801","0.076372441","0.08","0.0767566788",,
"        Arkansas (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.068438717","0.067550046","0.067016645","0.07182822","0.057","0.0556303067",,
"        California (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.067592771","0.060166021","0.056105636","0.053100111","0.046","0.0426149479",,
"        Colorado (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.068794224","0.063786312","0.062483408","0.063897583","0.046","0.0472798043",,
"        Connecticut (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.051471124","0.045755414","0.041210871","0.030932856","0.04","0.0394606084",,
"        Delaware (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.062823817","0.065015373","0.063205194","0.071058973","0.04","0.0498360897",,
"        District of Columbia (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.058919929","0.049691283","0.022548793","0.034746883","0.055","0.0446542065",,
"        Florida (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.076407309","0.070931113","0.069288094","0.066290968","0.067","0.0654326451",,
"        Georgia (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.087481582","0.070147844","0.074671063","0.068856494","0.065","0.0623060846",,
"        Hawaii (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.047079987","0.049757069","0.030355387","0.03629412","0.032","0.0547772664",,
